id,site_name,existing_device_client,capacity,latitude,longitude,feasibility_client,feasibility_mbps,comment,booked_by,expiry_date,interface,city,division,district,location,address,created_at
94,JSSDR15,ROBI,1000,23.1541,89.2278,ccl,2,cr,rabeya.akter,"2018-04-08 17:35:36",ge-0/2/2,Kotwali,Khulna,Jessore,Jessore,Bogchar,"2018-03-28 17:39:58"
95,CGSKD13,ROBI,1000,22.6,91.65547222,BBTSL,10,cr,rabeya.akter,"2018-04-08 17:45:55",ge-0/1/3,Sitakunda,Chittagong,Chittagong,Muradpur,"Muradpur,2","2018-03-28 17:48:10"
96,CXTKN12,ROBI,1000,20.84,92.2992,Aamra,25,cr,rabeya.akter,"2018-04-08 17:50:51",ge-0/1/1,Teknaf,Chittagong,"Coxs Bazar",Teknaf,"Uttar Nayapara","2018-03-28 17:55:52"
97,DHTEJ16,ROBI,1000,23.750548,90.393794,"Brac Net",15,q,partha.sarkar,"2018-04-28 17:00:05",ge-0/2/3,DMP,Dhaka,Dhaka,Dhaka,Ramna,"2018-03-28 18:01:10"
98,GPTPB1,GP,1000,24.232056,90.437667,"InterCloud Limited",6,CR,rabeya.akter,"2018-04-08 18:05:23",ge-0/1/2,Sreepur,Dhaka,Gazipur,"Yepirbari, Sreepur, Gazipur","Yepirbari, Sreepur, Gazipur","2018-03-28 18:06:34"
99,NGSF1M,GP,1000,23.752353,90.519639,ccl,2,cr,rabeya.akter,"2018-04-08 18:10:14",ge-0/1/1,Rupganj,Dhaka,Narayanganj,"Unnamed Road","Unnamed Road","2018-03-28 18:12:09"
100,SYZST1,GP,1000,24.930389,91.949611,"Brac Net",10,Q,partha.sarkar,"2018-04-25 05:25:37",ge-0/1/3,SylhetSadar,Sylhet,Sylhet,"Zakaria Estate, Khadimpara, Sylhet","Zakaria Estate, Khadimpara, Sylhet","2018-03-28 19:10:58"
101,SYDEB1,GP,1000,24.8939826,91.9148746,"Brac Net",10,Q,partha.sarkar,"2018-04-25 19:15:24",ge-0/1/3,SylhetSadar,Sylhet,Sylhet,"Debpara, Islampur, Sylhet","Debpara, Islampur, Sylhet","2018-03-28 19:15:50"
102,HGSDR02-AGG,SCL,1000,24.277009,91.470218,"Brac Net",20,Q,partha.sarkar,"2018-04-19 14:50:40",ge-1/2/0,HabiganjSadar,Sylhet,Habiganj,Shaistaganj,"Habiganj Bypass Road","2018-03-28 19:26:26"
103,DHKBRP01JR01,SCL,1000,24.007021,90.24793,CCL,10,CR,rabeya.akter,"2018-04-08 10:25:50",xe-1/3/1,Savar,Dhaka,Dhaka,"Kabirpur Power Grid","Kabirpur Power Grid","2018-03-29 10:28:41"
104,DHK_X3318,Banglalink,1000,24.00538,90.31094,CCL,10,cr,rabeya.akter,"2018-04-08 10:25:59",ge-1/2/1,GazipurSadar,Dhaka,Gazipur,"Jail Road","Dewla Bari, Konabari (near kashimpur jail), Gazipur","2018-03-29 10:29:48"
105,GPKNBA01ES01,SCL,1000,24.01083333,90.32277778,CCL,10,cr,rabeya.akter,"2018-04-08 10:30:41",Port20,GazipurSadar,Dhaka,Gazipur,"Joydevpur - Tangail Highway","Joydevpur - Tangail Highway","2018-03-29 10:31:30"
106,GPSDR31A01ES01,SCL,1000,24.09569442,90.4016,CCL,10,cr,rabeya.akter,"2018-04-08 10:30:41",Port22,GazipurSadar,Dhaka,Gazipur,"Dhaka - Mymensingh Highway","Dhaka - Mymensingh Highway","2018-03-29 10:33:30"
107,GP1602,AIRTEL,1000,24.180421,90.426858,CCL,10,cr,rabeya.akter,"2018-04-08 10:30:12",ge-0/2/1,Sreepur,Dhaka,Gazipur,"Dhaka - Mymensingh Highway","Dhaka - Mymensingh Highway","2018-03-29 10:35:01"
108,GPMWNA01JR01,SCL,1000,24.220878,90.411753,CCL,10,cr,rabeya.akter,"2018-04-08 10:35:14",ge-0/1/2,Sreepur,Dhaka,Gazipur,Mawna,"Super Complex, Mawna Chowrasta, Shreepur, Gazipur.","2018-03-29 10:37:03"
109,DHSVR72,ROBI,1000,23.7841,90.259,CCL,10,cr,rabeya.akter,"2018-04-08 10:35:41",ge-0/2/2,Savar,Dhaka,Dhaka,Hemayetpur_Savar,Hemayetpur_Savar,"2018-03-29 10:38:30"
